shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
83946,ok,32ch_prm,712199,25,25.858,0.13992,0.055667,0.241652,0.0,1,2.322450430041511,0.264969,0.542787,0.380522,0.001688,0.63693
83956,ok,55ch_prm,20248368,3261,3261.037,0.190635,0.072293,0.37366,0.0,174,9.613615344915774,0.373416,0.54074,0.465365,0.002744,0.592411
83963,ok,80ch_prm,3255632,46,46.099,0.191555,0.066932,0.322486,0.00122,0,0.0,0.357396,0.331749,0.402811,0.001807,0.603787
83998,ok,80ch_prm,3145031,43,43.958,0.1543,0.048082,0.283851,0.057871,1,10.549024172879689,0.178431,0.162155,0.333094,0.001935,0.672362
84041,ok,80ch_prm,1679150,20,20.073,0.131583,0.047193,0.245548,0.001219,1,0.9379077779824625,0.348574,0.061994,0.441924,0.001538,0.580059
84049,ok,48ch_prm,939881,17,17.503,0.140335,0.055721,0.316198,0.00151,1,0.5139299563170063,0.514254,0.085702,0.543722,0.004274,0.508865
84063,ok,39ch_prm,23137210,3423,3423.305,0.118489,0.051876,0.225983,0.0,79,4726.097537981945,0.342584,0.136666,0.427089,0.00359,0.593395
84064,ok,48ch_prm,940071,17,17.551,0.133346,0.048724,0.278717,0.001511,0,0.0,0.515684,0.085285,0.552197,0.003899,0.503125
84069,ok,7ch_prm,22610958,4633,4633.165,0.15278,0.091085,0.25464,0.040259,57,3324.285962524283,0.356022,0.717139,0.512568,0.001205,0.566611
84084,ok,80ch_prm,2835303,53,53.05,0.205934,0.100985,0.448932,0.0,2,32.438324001094756,0.393387,0.052313,0.419609,0.022822,0.595518
84099,ok,80ch_prm,2864787,52,52.815,0.209291,0.090325,0.421861,0.053493,2,30.640099477645304,0.36121,0.053804,0.41422,0.027039,0.597924
84108,ok,7ch_prm,19111107,4447,4447.142,0.123595,0.10068,0.301235,0.0,41,3210.1915071964163,0.345226,0.715714,0.413729,0.000825,0.642312
84114,ok,60ch_prm,1086754,19,19.826,0.345155,0.139207,0.524317,0.0,1,301.91087058103756,0.534318,0.869328,0.545707,0.014632,0.539293
84120,ok,32ch_prm,810561,27,27.988,0.186279,0.075359,0.288863,0.0,3,15.90239868699059,0.436614,0.60372,0.639785,0.003615,0.435077
84130,ok,60ch_prm,1014019,17,17.024,0.223992,0.093066,0.37622,0.0,1,12.025388767104372,0.53769,0.868997,0.717553,0.003066,0.43601
84134,ok,7ch_prm,15002810,3273,3273.634,0.123269,0.09947,0.287371,0.0,30,3406.6800139085562,0.36114,0.715714,0.496778,0.000692,0.601728
84142,ok,80ch_prm,2130461,37,37.87,0.179549,0.071692,0.328436,0.062231,1,11.651406739102365,0.41261,0.405186,0.485832,0.002618,0.564931
84146,ok,48ch_prm,2071794,92,92.722,0.211075,0.057094,0.329666,0.100909,2,1579.7117189208923,0.550129,0.786415,0.665511,0.002825,0.403565
84164,ok,32ch_prm,596408,19,19.153,0.113574,0.04254,0.187386,0.0,1,0.5511297487887947,0.257655,0.012489,0.374472,0.003611,0.630627
